[00:00:00.000 --> 00:00:12.520]  あなたの息ぷり本当にかわいかった
[00:00:12.520 --> 00:00:24.800]  触手に張り付けにされたままぐったりとして
[00:00:24.800 --> 00:00:29.360]  その姿完全に敗北ヒロインの
[00:00:29.360 --> 00:00:37.440]  それですね涙と鼻水とよだれでぐちゃぐちゃになったお顔も
[00:00:37.440 --> 00:00:42.040]  洗い呼吸に合わせて上下する方も
[00:00:42.040 --> 00:00:46.960]  私を誘っているかのよう
[00:00:46.960 --> 00:00:52.000]  とっても美しいですよ
[00:00:52.000 --> 00:00:57.320]  こんな風になったあなたと
[00:00:57.320 --> 00:01:02.640]  これから永遠にセックスができるなんて
[00:01:02.640 --> 00:01:07.800]  幸せ
[00:01:07.800 --> 00:01:16.640]  できた
[00:01:16.640 --> 00:01:20.400]  私のお腹の下に生やした
[00:01:20.400 --> 00:01:27.520]  この触手なんだかわかりますよね
[00:01:27.520 --> 00:01:31.960]  形状も人間のそれに見せてあげましたから
[00:01:31.960 --> 00:01:35.400]  きっとわかるはずです
[00:01:35.400 --> 00:01:40.840]  そうあなた方人間の男性気
[00:01:40.840 --> 00:01:44.000]  おちんちんです
[00:01:44.000 --> 00:01:50.360]  と言ってもこんなに長くて大きなものを持っている人間は
[00:01:50.360 --> 00:01:54.600]  そうそういないかもしれませんね
[00:01:54.600 --> 00:01:59.120]  これもまたあなたの頭の中にある
[00:01:59.120 --> 00:02:01.640]  理想のおちんちんの姿を
[00:02:01.640 --> 00:02:06.280]  参考に作ってみました
[00:02:06.280 --> 00:02:13.040]  ほらもっとよく見てください
[00:02:13.040 --> 00:02:18.360]  すごく太いですね
[00:02:18.360 --> 00:02:26.960]  長さも太さもあなたの二の腕くらいはありそうです
[00:02:26.960 --> 00:02:30.160]  それに
[00:02:30.160 --> 00:02:38.360]  ほら
[00:02:38.360 --> 00:02:41.360]  これ
[00:02:41.360 --> 00:02:44.400]  とっても硬くて
[00:02:44.400 --> 00:02:49.040]  とっても厚いんですよ
[00:02:49.040 --> 00:03:01.600]  こうやって私自らの手で処理しただけで
[00:03:01.600 --> 00:03:13.000]  先っぽから微薬の液が染み出してきました
[00:03:13.000 --> 00:03:16.120]  私の手でこれなら
[00:03:16.120 --> 00:03:21.640]  あなたの中ではどうなってしまうのでしょう
[00:03:21.640 --> 00:03:33.480]  微薬の液たくさん出して
[00:03:33.480 --> 00:03:40.360]  あなたの中をくるくらい気持ちよくしてあげますね
[00:03:42.360 --> 00:03:44.400]  もちろん
[00:03:44.400 --> 00:03:50.960]  ここから出るのは微薬粘液だけじゃありませんけど
[00:03:50.960 --> 00:03:59.040]  ほら
[00:03:59.040 --> 00:04:03.360]  すっかり仰めてしまいました
[00:04:03.360 --> 00:04:07.680]  先ほどあれだけの息っ振りを見せておきながら
[00:04:07.680 --> 00:04:12.280]  まだ理性が残っていたんですか
[00:04:13.160 --> 00:04:18.400]  もういいじゃないですか
[00:04:18.400 --> 00:04:27.640]  私の前では本当のあなたを隠す必要はないのですよ
[00:04:27.640 --> 00:04:30.920]  私はあなたのこと
[00:04:30.920 --> 00:04:37.640]  あなたの頭の中をすべてを理解している
[00:04:37.640 --> 00:04:42.760]  本当は人とは違う性液を持っていることも
[00:04:42.760 --> 00:04:50.640]  その性液を世間には隠しと嘘としていることも
[00:04:50.640 --> 00:04:53.200]  全部
[00:04:53.200 --> 00:04:56.440]  全部知っている
[00:04:56.440 --> 00:04:59.320]  知っているのですから
[00:04:59.320 --> 00:05:04.960]  隠したところで意味はありませんよね
[00:05:04.960 --> 00:05:09.880]  だから
[00:05:09.880 --> 00:05:13.720]  素直になって
[00:05:13.720 --> 00:05:16.040]  私
[00:05:16.040 --> 00:05:19.600]  すべてさらけだして
[00:05:19.600 --> 00:05:28.440]  え~
[00:05:28.440 --> 00:05:34.600]  これだけ言ってもまだ素直になれないのですか
[00:05:34.600 --> 00:05:37.480]  もう
[00:05:37.480 --> 00:05:41.520]  仕方がないですね
[00:05:41.520 --> 00:05:48.240]  本当は
[00:05:48.240 --> 00:05:55.240]  いつかあなたの方から求めてほしかったのですが
[00:05:55.240 --> 00:06:00.320]  私があなたのことを知り尽くしていると
[00:06:00.320 --> 00:06:04.200]  隠しても無駄であるということ
[00:06:04.200 --> 00:06:10.520]  身を持って分からせるためです
[00:06:10.520 --> 00:06:16.520]  さあ君にこちらをしてしまいましょう
[00:06:16.520 --> 00:06:25.120]  また可愛い声が上がりました
[00:06:25.120 --> 00:06:28.200]  どうしたのですか
[00:06:28.200 --> 00:06:32.520]  今私のおチンチンで触れたのは
[00:06:32.520 --> 00:06:37.120]  おまんこではありませんよ
[00:06:37.120 --> 00:06:44.200]  どうしてそんなところで感じてしまったのですか
[00:06:44.200 --> 00:06:48.160]  お尻の花
[00:06:48.160 --> 00:06:51.320]  なんかで
[00:06:51.320 --> 00:07:00.520]  あなたという人間は
[00:07:00.520 --> 00:07:06.520]  不思議な制服をお持ちですね
[00:07:06.520 --> 00:07:09.240]  一度でもいいから
[00:07:09.240 --> 00:07:16.560]  お尻の穴を攻められてみたいなんて
[00:07:16.560 --> 00:07:19.280]  こちらの穴に入れられたって
[00:07:19.280 --> 00:07:24.800]  聖職場なんの意味もないではありませんか
[00:07:24.800 --> 00:07:31.000]  でも
[00:07:31.000 --> 00:07:35.960]  こうやって血穴をチンチンで撫でられて
[00:07:35.960 --> 00:07:40.160]  ビクビクしているあなたを見ていると
[00:07:40.160 --> 00:07:48.040]  なんさらでもないのかもしれないって思えてしまいますね
[00:07:48.040 --> 00:07:56.280]  私こちらの穴に入れるのは初めてなんです
[00:07:56.280 --> 00:08:03.000]  一体どんな感触がするのでしょう
[00:08:03.000 --> 00:08:08.520]  楽しみになってきました
[00:08:08.520 --> 00:08:13.400]  やらーじゃありません
[00:08:13.400 --> 00:08:17.400]  いい加減素直になってください
[00:08:17.400 --> 00:08:22.880]  それに身を余じって逃げようとしてもまだですよ
[00:08:22.880 --> 00:08:27.240]  あなたの両足は職種にぐるぐる巻きにされて
[00:08:27.240 --> 00:08:35.720]  まともに動かせないじゃありませんか
[00:08:35.720 --> 00:08:39.880]  さあお望み通り
[00:08:39.880 --> 00:08:44.880]  お尻に入れてあげますよ
[00:08:44.880 --> 00:08:50.840]  ほら力抜いてください
[00:08:50.840 --> 00:09:14.840]  すごいこれが人間の職長の中
[00:09:14.840 --> 00:09:26.000]  思ったよりも柔らかくてぬめぬめしてきつく
[00:09:26.000 --> 00:09:32.280]  でもあったかーい
[00:09:44.840 --> 00:09:55.360]  抜いてなんて嘘ですよね
[00:09:55.360 --> 00:10:03.480]  ほらもっとしっかり感じてください
[00:10:03.480 --> 00:10:08.200]  あなたの中にある異物の存在を
[00:10:08.200 --> 00:10:12.960]  暑くて信じられないくらい太くて
[00:10:12.960 --> 00:10:21.920]  ごりごりごつごつしたものの存在よ
[00:10:21.920 --> 00:10:30.720]  今中がキュッてしまった
[00:10:30.720 --> 00:10:33.680]  意識してくれたんですね
[00:10:33.680 --> 00:10:43.000]  わたくしのお尻尾のこと嬉しい
[00:10:43.000 --> 00:10:45.560]  そうですよ
[00:10:45.560 --> 00:10:53.680]  もっとあなたの肉壁で感じとってくださいね
[00:10:53.680 --> 00:10:59.400]  もっともっとわたくしのお尻尾感じられるように
[00:10:59.400 --> 00:11:08.320]  ゆっくりしっくり動かしてこすってあげますからね
[00:11:21.880 --> 00:11:33.800]  気持ちいいあなたの中ぬるぬるであったかくて
[00:11:33.800 --> 00:11:41.800]  締め付けもすごくいい
[00:11:41.800 --> 00:12:09.800]  かいこー!
[00:12:09.800 --> 00:12:14.360]  一度付くたびに体がふるえて
[00:12:14.360 --> 00:12:20.000]  ビリビリと抜けるようなかいかんが
[00:12:20.000 --> 00:12:24.080]  心地いいすごくいい
[00:12:24.080 --> 00:12:30.880]  もっともっとほしい気持ちいいのほしい
[00:12:39.800 --> 00:13:05.360]  あなたの気持ちいいですか
[00:13:05.360 --> 00:13:08.840]  気持ちよさそうな哀り声しか
[00:13:08.840 --> 00:13:14.360]  聞こえなくなってしまいました
[00:13:14.360 --> 00:13:19.680]  本当にお尻が好きなんですね
[00:13:19.680 --> 00:13:24.240]  ドヘン対酸
[00:13:24.240 --> 00:13:28.040]  ずっとおかされてみたかったところをおかされて
[00:13:28.040 --> 00:13:35.120]  気持ちがいいですね
[00:13:35.120 --> 00:13:44.640]  言葉になっていませんよ
[00:13:44.640 --> 00:13:48.800]  まるで動物みたい
[00:13:48.800 --> 00:13:59.480]  もう気持ちがよくて気持ちがよくて仕方がないんですね
[00:13:59.480 --> 00:14:04.400]  締め付けのいいお尻
[00:14:04.400 --> 00:14:10.720]  ただ付くだけじゃ味気ないですよね
[00:14:10.720 --> 00:14:22.560]  こういうのはどうですか
[00:14:22.560 --> 00:14:26.840]  そんなに体をのけそらせて
[00:14:26.840 --> 00:14:30.720]  気持ちいいんですね
[00:14:30.720 --> 00:14:42.480]  疲れるよりも絵を描くようにかけ混ぜられるのが好きなんですね
[00:14:42.480 --> 00:14:47.760]  私もこうするとあなたの中を
[00:14:47.760 --> 00:14:53.520]  隅々まで味わいつくせるから
[00:14:53.520 --> 00:14:56.000]  好き
[00:14:56.000 --> 00:14:59.160]  これとっても気持ちがいい
[00:14:59.160 --> 00:15:01.480]  好きです
[00:15:01.480 --> 00:15:20.080]  さあそろそろですね
[00:15:20.080 --> 00:15:27.320]  あなたのドヘン対な欲望を叶えてあげたところで
[00:15:27.320 --> 00:15:46.080]  わたくしの欲望も叶えていただくとしましょうか
[00:15:46.080 --> 00:15:48.840]  思った通り
[00:15:48.840 --> 00:15:56.040]  あなたのおまんこ気持ちいい
[00:15:56.040 --> 00:15:58.040]  どうですか
[00:15:58.040 --> 00:16:04.920]  何の予告もなしに突然おまんこに入れられた感想は
[00:16:04.920 --> 00:16:14.560]  あなたったらお尻を攻められるのに夢中で全然気付かないんですもの
[00:16:14.560 --> 00:16:20.080]  わたくしがこっそり作り出した別のおちんちん職種が
